,election_id,year,election_date,unrate,fedrate,sp500_t,payems_t,cpi_t,indpro_t,consum_t,unrate_t,sp500_y,payems_y,cpi_y,indpro_y,consum_y,unrate_y
0,president_1948,1948,1948-11-02,3.3099999999999996,0.875,6.067795068300512,2.0150090689622857,8.119662786353928,-3.4202354753194015,0.3597967160204689,-0.1725000000000001,5.53040422898421,1.5648296189296502,4.656862745098039,1.4583317680118455,0.7720819909673367,-0.6900000000000004
1,president_1952,1952,1952-11-04,2.5,1.75,12.407854596690157,2.495392662176471,2.502347223214855,7.216122123084361,2.4226499270667716,-0.20999999999999996,7.953551964636006,3.491299431587663,1.0853104492680359,11.659636520224325,4.906269542957276,-0.6600000000000001
2,president_1956,1956,1956-11-06,3.9166666666666665,3.0,17.575309508619853,1.4481138340947979,0.7560516533433201,3.42935054928644,1.8705684686715927,0.35416666666666663,7.259338404504405,2.332544456624049,2.3685515873015817,2.454037094060155,0.506539595538257,0.09666666666666668
3,president_1960,1960,1960-11-08,5.786666666666666,2.65,4.485193703664109,0.49773979198268137,2.003637704554123,0.7034162165883373,0.7833332332532734,0.46499999999999986,-3.9478268830672505,0.2452675815389398,1.3605442176870497,-0.5164985570749536,-0.45382117801364075,0.54
4,president_1964,1964,1964-11-03,4.513333333333334,3.533333333333333,11.600418670633587,2.3675525057465165,1.1543543686131557,7.134315258040516,3.3124584173931453,-0.2916666666666665,15.942822853242063,3.4330092295084853,1.2658227848101262,7.520050879537905,4.663204927352766,-0.7866666666666662
5,president_1968,1968,1968-11-05,3.273333333333333,6.0,4.895296085469283,3.8883938862813494,3.217432829618133,6.2934594309843845,3.954027973098249,-0.31500000000000006,12.79513967220798,3.4215001935492353,4.721537703302175,5.242076924324451,4.809293682469871,-0.393333333333334
6,president_1972,1972,1972-11-07,4.88,5.45,2.258771205328358,2.100443538478629,4.609303272253015,3.3932410206615913,3.25415175643289,0.4066666666666666,20.42059715066887,4.34424664062125,3.598176489742727,11.547718752569722,6.446273118877372,-0.7733333333333334
7,president_1976,1976,1976-11-02,7.4,5.027666666666667,-2.667917293432737,1.707367112810232,8.14612014084986,1.167640285180994,1.6023933788420948,0.6266666666666667,16.3696249098833,3.268425807326153,4.869229842111622,8.236079979338768,4.054253968995454,-0.39999999999999947
8,president_1980,1980,1980-11-04,7.08,14.164,6.599105853844463,3.1207984674680063,10.201159670078638,2.9785542675607104,1.2698191262772838,-0.08000000000000007,27.857982664295108,0.19914733149204267,12.595386369616747,-1.3251597216099071,-0.9080169947560108,1.4666666666666668
9,president_1984,1984,1984-11-06,6.916666666666667,10.036666666666667,7.170426129008533,1.4065606038090124,5.296170159790137,1.6947330059594776,2.796240116529475,-0.03583333333333316,5.249830033812302,4.412191213683329,4.030823947836382,5.333469313699652,3.765078616224443,-1.163333333333333
10,president_1988,1988,1988-11-08,5.153333333333333,8.394333333333332,13.194120480570845,2.6687360448538726,3.395449036158965,3.1629818074663945,3.088329283978112,-0.44333333333333336,13.15129167592481,3.1256927724819974,4.286539572501397,2.807678224687976,3.079955483447108,-0.39333333333333353
11,president_1992,1992,1992-11-03,7.1,3.0486666666666666,11.030550644257403,0.6154134209304516,4.227550855380585,1.011691208996183,0.9613555016829451,0.48,7.594551281424771,0.915640994863125,3.0355803884575323,3.558130224223248,2.9322634470409668,0.379999999999999
12,president_1996,1996,1996-11-05,5.0,5.223333333333334,14.356517952627243,2.5657670346872266,2.8055246525234594,4.604611334196946,2.168365386870377,-0.5249999999999999,21.357439415250767,2.3528797952521643,3.266413456321146,5.77688450867349,2.26927651093159,-0.2833333333333332
13,president_2000,2000,2000-11-07,3.7,6.6080000000000005,18.31050007780763,2.313466766435198,2.3555564761913956,4.7162321958091695,3.6740126815335827,-0.32499999999999996,3.983993214464647,1.5671282015665042,3.4343434343434325,1.842624851924569,2.7908010009104913,-0.07666666666666622
14,president_2004,2004,2004-11-02,5.196666666666667,1.837,-5.650194387981074,-0.009594231399660202,2.3409730816939174,0.5849702541215152,2.1043456349634226,0.37416666666666676,6.7553056356919825,1.550827601921469,3.5178694033895113,2.9269126785293196,2.7763332239337757,-0.3899999999999988
15,president_2008,2008,2008-11-04,6.56,0.25,-3.63217881037572,0.5520343217797716,2.6795089296099377,-0.5048570723662209,0.561690265041932,0.34333333333333327,-33.046860836174744,-2.045334586602081,0.9740757201003589,-9.025679322386637,-2.458562210131703,2.0199999999999996
16,president_2012,2012,2012-11-06,7.433333333333334,0.16833333333333333,11.294947382564828,-0.0989048925659688,2.0730049534006554,1.3785748418479784,0.5501029671222142,0.20333333333333337,13.26360855262682,1.604852148391032,1.7686604304057312,2.2725856896227015,0.6984410532440393,-0.7866666666666653
17,president_2016,2016,2016-11-08,4.423333333333334,0.41,11.589454076523694,1.8642527204746528,1.2076250013630414,0.13335389121857588,1.9284113383486243,-0.7574999999999998,2.9337325566864365,1.6496037311697762,1.7930603835587107,-0.8048820112366144,1.724477797331133,-0.37666666666666604
18,president_2020,2020,2020-11-03,6.406666666666667,0.09,12.744281177305155,-0.4271831485731781,1.9011319925545678,-0.3518102867463426,1.357891748119215,0.49916666666666676,9.449784805506425,-5.889954153057801,1.1900919935848862,-4.986229625823924,0.3711100290460223,3.0966666666666676
19,president_2024a,2024,2024-11-05,4.3,5.33,12.075212195123669,2.6786658033080215,4.809418013952893,1.4983344777022722,2.3025269894170037,-0.5291666666666668,26.821928737675307,1.0032110393538574,2.302550324348317,0.26510987742132386,0.14940658624671244,0.7999999999999998
